iter	RMSE
0	5.285589055
1	4.969402983
2	4.705091834
3	4.474396463
4	4.270166851
5	4.111026479
6	3.963143746
7	3.820343568
8	3.713153433
9	3.606599785
10	3.527261888
11	3.442708807
12	3.364437565
13	3.305446625
14	3.246517397
15	3.203236232
16	3.154197691
17	3.099923775
18	3.060168912
19	3.021045022
20	2.989337374
21	2.932819909
22	2.895782492
23	2.857779403
24	2.81470152
25	2.786299286
26	2.759155423
27	2.732626711
28	2.696804537
29	2.676882036
30	2.656685399
31	2.636152219
32	2.623363574
33	2.600652685
34	2.586655558
35	2.572768145
36	2.556401815
37	2.541551296
38	2.51219498
39	2.496603726
40	2.476207449
41	2.455384879
42	2.438429748
43	2.423316423
44	2.406584218
45	2.394492408
46	2.380291614
47	2.368296795
48	2.345130643
49	2.328036479
50	2.311917372
51	2.293135953
52	2.286045862
53	2.27645195
54	2.254130062
55	2.238762876
56	2.226254966
57	2.212826131
58	2.204871055
59	2.188060836
60	2.176068965
61	2.164593194
62	2.152442121
63	2.143363
64	2.133332466
65	2.122936663
66	2.104047841
67	2.089763909
68	2.083769037
69	2.073456382
70	2.057060712
71	2.043453436
72	2.037338379
73	2.021381483
74	2.015757891
75	2.006693211
76	1.989513831
77	1.983272955
78	1.966682825
79	1.948131772
80	1.935436681
81	1.926378027
82	1.917425634
83	1.909892018
84	1.900788611
85	1.894033324
86	1.87843895
87	1.86348235
88	1.854036968
89	1.83679613
90	1.828691785
91	1.823134897
92	1.811026633
93	1.804104926
94	1.798700517
95	1.791041263
96	1.782119851
97	1.771857694
98	1.764092636
99	1.748804967
100	1.73738947
101	1.72845622
102	1.717286004
103	1.706188981
104	1.698822963
105	1.691964278
106	1.677360286
107	1.672660108
108	1.663266947
109	1.650662286
110	1.644646929
111	1.639421588
112	1.629797697
113	1.62248684
114	1.610213487
115	1.603250319
116	1.593585711
117	1.586537892
118	1.577591485
119	1.570933679
120	1.560504908
121	1.552658706
122	1.547424502
123	1.535714079
124	1.528661658
125	1.519748053
126	1.514099212
127	1.507749834
128	1.500895481
129	1.489284747
130	1.477021432
131	1.468462946
132	1.462544217
133	1.44818563
134	1.436846942
135	1.432473516
136	1.422325495
137	1.41363648
138	1.404790057
139	1.39299556
140	1.383488058
141	1.377175215
142	1.372465415
143	1.365454987
144	1.358282887
145	1.349394068
146	1.344749519
147	1.338550049
148	1.330083066
149	1.320301904
150	1.313819004
151	1.306086364
152	1.296781212
153	1.288302604
154	1.278596095
155	1.263135502
156	1.24913585
157	1.239173173
158	1.233301771
159	1.228558171
160	1.221941168
161	1.217850993
162	1.210058261
163	1.199677802
164	1.192838147
165	1.1853104
166	1.18068378
167	1.174425259
168	1.165556695
169	1.160508049
170	1.156196227
171	1.148369812
172	1.142160335
173	1.137030731
174	1.133499498
175	1.129030029
176	1.12300514
177	1.119788122
178	1.11399699
179	1.10532282
180	1.097045518
181	1.089908637
182	1.084764345
183	1.079314972
184	1.074924362
185	1.0685841
186	1.060905697
187	1.056640894
188	1.05117154
189	1.047861448
190	1.044431723
191	1.040374464
192	1.037164705
193	1.028622325
194	1.022811538
195	1.019238416
196	1.013768284
197	1.011175294
198	1.005533139
199	0.9998398479
200	0.992922065
201	0.984131914
202	0.9806841696
203	0.974349703
204	0.9684503587
205	0.96288443
206	0.9600288588
207	0.9558621026
208	0.9537589333
209	0.9487826324
210	0.9459796435
211	0.9418990337
