iter	Passed	Remaining
0	415	207416
1	709	176589
2	965	159996
3	1217	150940
4	1498	148343
5	1777	146322
6	2043	143913
7	2302	141615
8	2564	139923
9	2810	137712
10	3050	135626
11	3295	134024
12	3543	132747
13	3785	131394
14	4022	130064
15	4255	128734
16	4489	127567
17	4725	126550
18	4959	125561
19	5199	124779
20	5438	124044
21	5686	123544
22	5922	122832
23	6161	122200
24	6394	121491
25	6625	120780
26	6880	120527
27	7107	119815
28	7343	119263
29	7572	118639
30	7803	118064
31	8038	117568
32	8275	117103
33	8515	116715
34	8740	116124
35	8961	115505
36	9207	115223
37	9444	114824
38	9683	114459
39	9910	113967
40	10155	113694
41	10380	113195
42	10607	112734
43	10861	112562
44	11107	112308
45	11341	111932
46	11579	111606
47	11828	111381
48	12068	111075
49	12299	110694
50	12544	110436
51	12792	110213
52	13036	109951
53	13284	109719
54	13528	109460
55	13770	109182
56	14006	108858
57	14238	108504
58	14479	108228
59	14711	107884
60	14942	107538
61	15184	107273
62	15419	106958
63	15655	106653
64	15895	106377
65	16134	106097
66	16375	105831
67	16622	105601
68	16857	105296
69	17096	105020
70	17335	104744
71	17580	104508
72	17825	104264
73	18071	104031
74	18314	103781
75	18556	103526
76	18809	103330
77	19048	103055
78	19291	102804
79	19552	102650
80	19824	102547
81	20097	102447
82	20352	102254
83	20594	101990
84	20858	101839
85	21107	101612
86	21367	101436
87	21611	101180
88	21864	100970
89	22125	100795
90	22384	100606
91	22622	100325
92	22889	100174
93	23137	99933
94	23386	99698
95	23633	99459
96	23885	99234
97	24149	99060
98	24398	98824
99	24647	98590
100	24884	98307
101	25138	98089
102	25389	97860
103	25643	97643
104	25897	97422
105	26158	97232
106	26402	96973
107	26649	96728
108	26889	96457
109	27152	96269
110	27411	96063
111	27650	95790
112	27937	95679
113	28209	95517
114	28470	95313
115	28720	95075
116	28966	94822
117	29215	94579
118	29461	94327
119	29694	94033
120	29937	93770
121	30176	93496
122	30414	93221
123	30655	92955
124	30888	92665
125	31129	92400
126	31368	92128
127	31598	91834
128	31832	91549
129	32077	91298
130	32329	91065
131	32567	90794
132	32810	90535
133	33072	90331
134	33321	90091
135	33562	89829
136	33804	89569
137	34044	89304
138	34306	89099
139	34581	88925
140	34848	88728
141	35101	88494
142	35344	88236
143	35584	87973
144	35824	87708
145	36076	87473
146	36341	87268
147	36587	87018
148	36841	86787
149	37084	86531
150	37329	86278
151	37563	86000
152	37808	85747
153	38055	85501
154	38337	85332
155	38612	85146
156	38883	84949
157	39139	84719
158	39394	84487
159	39649	84256
160	39898	84009
161	40122	83712
162	40355	83434
163	40632	83247
164	40916	83071
165	41165	82827
166	41405	82562
167	41649	82307
168	41902	82069
169	42141	81803
170	42391	81559
171	42642	81318
172	42889	81068
173	43127	80802
174	43357	80520
175	43595	80256
176	43839	80001
177	44084	79749
178	44324	79487
179	44579	79252
180	44825	79001
181	45074	78756
182	45333	78528
183	45577	78275
184	45829	78033
185	46075	77784
186	46317	77525
187	46557	77265
188	46795	77002
189	47042	76752
190	47281	76492
191	47523	76236
192	47759	75969
193	48004	75719
194	48251	75469
195	48488	75207
196	48732	74954
197	48977	74702
198	49215	74441
199	49452	74178
200	49689	73916
201	49943	73679
202	50183	73421
203	50431	73175
204	50681	72931
205	50916	72667
206	51151	72402
207	51395	72151
208	51634	71893
209	51871	71631
210	52103	71364
211	52347	71113
212	52596	70869
213	52834	70610
214	53074	70354
215	53316	70101
216	53552	69840
217	53786	69577
218	54025	69320
219	54274	69076
220	54514	68820
221	54759	68573
222	55004	68323
223	55234	68056
224	55496	67829
225	55734	67571
226	55971	67314
227	56217	67065
228	56462	66818
229	56706	66568
230	56946	66314
231	57184	66058
232	57435	65816
233	57682	65570
234	57917	65311
235	58174	65076
236	58415	64823
237	58656	64571
238	58913	64336
239	59163	64094
240	59411	63848
241	59652	63596
242	59896	63347
243	60128	63085
244	60369	62833
245	60598	62569
246	60837	62315
247	61073	62058
248	61309	61801
249	61555	61555
250	61801	61308
251	62044	61059
252	62291	60813
253	62532	60563
254	62771	60309
255	63018	60064
256	63264	59818
257	63505	59567
258	63751	59320
259	63992	59069
260	64234	58820
261	64485	58578
262	64725	58326
263	64963	58073
264	65205	57823
265	65448	57575
266	65697	57331
267	65937	57080
268	66177	56828
269	66415	56576
270	66659	56328
271	66891	56071
272	67138	55825
273	67381	55577
274	67627	55331
275	67863	55077
276	68106	54829
277	68341	54574
278	68588	54329
279	68831	54082
280	69076	53835
281	69317	53586
282	69557	53335
283	69812	53096
284	70051	52845
285	70293	52597
286	70533	52346
287	70774	52097
288	71007	51842
289	71240	51587
290	71479	51337
291	71720	51088
292	71972	50847
293	72221	50604
294	72460	50353
295	72701	50105
296	72939	49854
297	73184	49608
298	73421	49356
299	73663	49108
300	73915	48867
301	74164	48624
302	74399	48371
303	74641	48123
304	74872	47869
305	75120	47625
306	75364	47378
307	75602	47128
308	75829	46872
309	76069	46623
310	76311	46375
311	76559	46131
312	76807	45888
313	77062	45648
314	77300	45398
315	77536	45148
316	77783	44903
317	78036	44662
318	78285	44418
319	78520	44167
320	78763	43921
321	79008	43675
322	79245	43425
323	79491	43180
324	79734	42933
325	79970	42683
326	80216	42438
327	80463	42194
328	80705	41947
329	80948	41700
330	81182	41449
331	81425	41203
332	81666	40955
333	81901	40705
334	82139	40456
335	82386	40212
336	82633	39967
337	82863	39715
338	83114	39473
339	83360	39228
340	83597	38979
341	83837	38731
342	84079	38485
343	84317	38237
344	84561	37991
345	84797	37742
346	85044	37497
347	85279	37248
348	85520	37001
349	85777	36761
350	86015	36513
351	86270	36272
352	86513	36026
353	86765	35784
354	87003	35536
355	87242	35289
356	87483	35042
357	87727	34796
358	87976	34553
359	88219	34307
360	88455	34059
361	88696	33812
362	88934	33564
363	89173	33317
364	89417	33072
365	89659	32825
366	89905	32581
367	90143	32334
368	90387	32088
369	90622	31840
370	90870	31596
371	91111	31350
372	91358	31106
373	91599	30859
374	91856	30618
375	92093	30371
376	92344	30128
377	92605	29888
378	92848	29642
379	93093	29397
380	93332	29151
381	93578	28906
382	93821	28660
383	94062	28414
384	94304	28168
385	94545	27922
386	94778	27674
387	95005	27424
388	95251	27179
389	95486	26932
390	95727	26686
391	95974	26441
392	96215	26196
393	96446	25947
394	96677	25699
395	96913	25452
396	97162	25208
397	97395	24960
398	97641	24716
399	97869	24467
400	98116	24223
401	98350	23976
402	98596	23731
403	98839	23486
404	99084	23242
405	99334	22998
406	99572	22752
407	99816	22507
408	100058	22262
409	100294	22015
410	100537	21770
411	100781	21526
412	101023	21281
413	101263	21035
414	101505	20790
415	101750	20545
416	101984	20299
417	102232	20055
418	102475	19810
419	102716	19565
420	102957	19319
421	103192	19073
422	103430	18827
423	103672	18582
424	103917	18338
425	104161	18093
426	104408	17849
427	104650	17604
428	104886	17358
429	105131	17114
430	105368	16868
431	105625	16626
432	105859	16380
433	106093	16134
434	106330	15888
435	106568	15643
436	106809	15398
437	107055	15153
438	107289	14908
439	107530	14663
440	107764	14417
441	108006	14172
442	108246	13927
443	108494	13683
444	108736	13439
445	108977	13194
446	109221	12950
447	109462	12705
448	109702	12460
449	109935	12215
450	110174	11970
451	110416	11725
452	110652	11480
453	110883	11234
454	111125	10990
455	111362	10745
456	111603	10500
457	111843	10256
458	112090	10012
459	112339	9768
460	112575	9523
461	112825	9280
462	113060	9035
463	113294	8790
464	113530	8545
465	113770	8300
466	114009	8056
467	114253	7812
468	114498	7568
469	114736	7323
470	114983	7079
471	115223	6835
472	115466	6591
473	115698	6346
474	115936	6101
475	116176	5857
476	116417	5613
477	116653	5368
478	116886	5124
479	117126	4880
480	117364	4636
481	117605	4391
482	117842	4147
483	118087	3903
484	118320	3659
485	118565	3415
486	118801	3171
487	119049	2927
488	119281	2683
489	119520	2439
490	119766	2195
491	120007	1951
492	120244	1707
493	120487	1463
494	120724	1219
495	120969	975
496	121213	731
497	121448	487
498	121684	243
499	121923	0
